code_station,libelle_station,libelle_cours_eau,libelle_commune,code_departement,latitude,longitude,module_m3s,q25_m3s,qmna5_m3s,nb_annees
U343432001,Le Solnan à Verjon [Village],Le Solnan,VERJON,01,46.344858,5.349974,0.727,0.138,0.059,38
U343434001,Le Solnan à Domsure,Le Solnan,DOMSURE,01,46.4374,5.27682,2.3672,0.33,0.133,29
U344502001,Le Sevron à Bény,Le Sevron,BENY,01,46.315599,5.28076,0.8967,0.105,0.029,42
U400000101,La Reyssouze [Source] à Journans,La Reyssouze,JOURNANS,01,46.143007,5.330754,0.0427,0.01,0.005,10
U401401001,La Reyssouze à Montagnat,La Reyssouze,MONTAGNAT,01,46.171512,5.289965,0.5154,0.113,0.042,56
U401402001,La Reyssouze à Bourg-en-Bresse [Majornas],La Reyssouze,BOURG-EN-BRESSE,01,46.227059,5.222299,1.2457,0.384,0.185,42
U401402101,La Reyssouze à Bourg-en-Bresse [Baudières],La Reyssouze,BOURG-EN-BRESSE,01,46.202958,5.233608,0.4231,0.274,,2
U402000101,Le Jugnon à Viriat [Bretonière],Le Jugnon,VIRIAT,01,46.248465,5.230266,0.2815,0.113,,3
U403000201,La Reyssouze à Montrevel-en-Bresse [TEST INTEGRATION AQUASYS],,MONTREVEL-EN-BRESSE,01,46.336996,5.129952,,,,
U403000301,La Reyssouze à Cras-sur-Reyssouze [Digue des Puthods],La Reyssouze,CRAS-SUR-REYSSOUZE,01,46.302154,5.168896,,,,
U405401001,La Reyssouze à Saint-Julien-sur-Reyssouze,La Reyssouze,SAINT-JULIEN-SUR-REYSSOUZE,01,46.400607,5.108671,,,,
U405401201,La Reyssouze à Pont-de-Vaux [Blancherie],La Reyssouze,PONT-DE-VAUX,01,46.431019,4.936431,,,,
U420401001,La Veyle à Lent,La Veyle,LENT,01,46.119578,5.19875,0.3854,0.131,0.072,52
U421601001,Le Vieux Jonc à Buellas [Corgenon],Le Vieux Jonc,BUELLAS,01,46.192825,5.141201,0.9003,0.147,0.054,53
U423402001,La Veyle à Biziat [gourt des parties] - Aval,La Veyle,BIZIAT,01,46.237236,4.950841,4.4217,1.643,0.92,20
U423501001,Le Renon à Neuville-les-Dames,Le Renon,NEUVILLE-LES-DAMES,01,46.157087,4.996908,0.7579,0.13,0.027,56
U440501001,La Chalaronne à Villars-les-Dombes,La Chalaronne,VILLARS-LES-DOMBES,01,45.998314,5.028447,0.4346,0.029,0.003,50
U440502001,La Chalaronne à Châtillon-sur-Chalaronne,La Chalaronne,CHATILLON-SUR-CHALARONNE,01,46.117265,4.957534,0.9484,0.14,0.043,41
U470001001,La Saône à Trévoux,La Saône,TREVOUX,01,45.939989,4.77317,,,,
V041501001,L'Allondon à Saint-Genis-Pouilly,L'Allondon,SAINT-GENIS-POUILLY,01,46.239256,6.014198,0.8291,0.148,0.035,33
V041504001,L'Allondon à Échenevex [Naz-Dessous],L'Allondon,ECHENEVEX,01,46.298583,6.028608,0.471,0.064,0.004,32
V100001001,Le Rhône à Pougny - CNR,Le Rhône,POUGNY,01,46.143957,5.963664,334.3736,204.0,150.302,98
V100001002,Le Rhône à Pougny - DREAL Rhône Alpes,Le Rhône,POUGNY,01,46.137641,5.964334,368.07,248.328,206.723,7
V101501001,La Valserine à Lélex [Niaizet],La Valserine,LELEX,01,46.282475,5.921921,2.2371,0.58,0.184,59
V101503001,La Valserine à Chézery-Forens [Chézery],La Valserine,CHEZERY-FORENS,01,46.221759,5.865713,4.6059,1.57,0.857,63
V101503003,La Valserine à Chézery-Forens [Chézery] - Station vitesse,La Valserine,CHEZERY-FORENS,01,46.219896,5.864814,,,,
V101581001,La Semine à Châtillon-en-Michaille [Coz],La Semine,CHATILLON-EN-MICHAILLE,01,46.149839,5.800455,9.252,2.1,1.145,56
V101582001,La Semine à Saint-Germain-de-Joux [Les Marionnettes],La Semine,SAINT-GERMAIN-DE-JOUX,01,46.182484,5.738728,3.0789,0.507,0.211,25
V101582501,La Valserine à Lancrans [Le Viret],La Valserine,LANCRANS,01,46.125025,5.821516,15.3044,4.052,1.98,24
V101582601,La Valserine à Lancrans - Station partenaire CNR,La Valserine,LANCRANS,01,46.132652,5.817333,23.7427,6.757,,
V102002001,Le Rhône à Surjoux,Le Rhône,SURJOUX,01,46.021,5.810167,368.7264,239.671,169.504,26
V102002002,Le Rhône à Surjoux - Bognes CNR,Le Rhône,SURJOUX,01,46.039358,5.807816,357.8739,218.0,158.592,103
V113000101,Le Rhône à Corbonod - CNR,Le Rhône,CORBONOD,01,45.967932,5.832381,,,,
V113000102,Le Rhône à Corbonod - DREAL,Le Rhône,CORBONOD,01,45.967932,5.832381,350.7353,249.778,,
V126402401,Le Rhône à Anglefort [Entrant Chautagne],Le Rhône,ANGLEFORT,01,45.934449,5.82548,399.7107,278.74,,3
V141401001,Le Séran à Belmont-Luthézieu [Bavosière],Le Séran,BELMONT-LUTHEZIEU,01,45.881627,5.672565,1.3138,0.076,0.0,59
V142501001,Le Groin à Artemare [Cerveyrieu],Le Groin,ARTEMARE,01,45.874843,5.685831,3.2626,0.161,0.024,57
V143000301,Le Séran à Ceyzérieu,Le Séran,CEYZERIEU,01,45.833132,5.747024,,,,
V143000401,Le ruisseau de Farillieu à Magnieu,Ruisseau de Farillieu,MAGNIEU,01,45.782397,5.742431,,,,
V143000501,Le Séran à Talissieu,Le Séran,TALISSIEU,01,45.855468,5.720895,,,,
V144002001,La dérivation de Belley à Brens - CNR,Dérivation de Belley,BRENS,01,45.71059,5.699357,421.5579,262.98,187.161,39
V144002002,La dérivation de Belley à Brens - DREAL,Dérivation de Belley,BRENS,01,45.710534,5.699445,913.973,722.305,,
V144621301,[L'Ousson] à Belley,,BELLEY,01,45.760067,5.704679,,,,
V145431002,Le Furans à Pugieu [Pont du Martinet],Le Furans,PUGIEU,01,45.820879,5.642407,1.622,0.354,0.19,41
V145431201,L'Arène à Chazey-Bons,L'Arène,CHAZEY-BONS,01,45.820621,5.654503,,,,
V145431301,Le Furans à Rossillon,Le Furans,ROSSILLON,01,45.842033,5.571947,,,,
V145431401,Le Furans à Rossillon,Le Furans,ROSSILLON,01,45.835762,5.583909,,,,
V145431501,[Source des Hotteaux] à Rossillon,,ROSSILLON,01,45.838228,5.583421,,,,
V145431601,[Source des Hotteaux] à Rossillon,,ROSSILLON,01,45.838069,5.583778,,,,
V145431701,[Source des Hotteaux] à Rossillon,,ROSSILLON,01,45.838434,5.583748,,,,
V145431801,Le ruisseau Pointay à Rossillon,Ruisseau Pointay,ROSSILLON,01,45.83707,5.585746,,,,
V146431001,Le Furans à Arbignieu [Pont de Peyzieu],Le Furans,ARBOYS EN BUGEY,01,45.716621,5.665901,3.7484,1.147,0.661,45
V146431101,Le Furans à Chazey-Bons,Le Furans,CHAZEY-BONS,01,45.786319,5.675904,,,,
V161000401,Le Gland à Prémeyzel,Le Gland,PREMEYZEL,01,45.6697,5.62756,,,,
V163002001,Le Rhône à Lagnieu - Station partenaire CNR,Le Rhône,LAGNIEU,01,45.88138,5.340435,460.834,292.455,198.257,36
V163002002,Le Rhône à Lagnieu - DREAL Rhone-Alpes,Le Rhône,LAGNIEU,01,45.880888,5.340233,475.6237,299.015,271.252,5
V244403201,[La Source Bleue] à Dortan,,DORTAN,01,46.310056,5.662501,1.2265,0.488,0.381,21
V251501002,L'Oignin à Maillat [Pontet],L'Oignin,MAILLAT,01,46.134208,5.53903,2.8542,0.554,0.192,36
V271201001,L'Ain à Pont-d'Ain,L'Ain,PONT-D'AIN,01,46.047408,5.336198,102.3301,32.746,14.888,66
V281403001,Le Suran à Pont-d'Ain,Le Suran,PONT-D'AIN,01,46.064674,5.331275,6.2472,0.692,0.092,44
V281404001,Le Suran à Germagnat [Lasserra],Le Suran,GERMAGNAT,01,46.304603,5.443956,3.8096,0.498,0.178,18
V281404003,Le Suran à Germagnat [Lasserra] - Germagnat Intermédiaire,Le Suran,GERMAGNAT,01,46.304539,5.445307,4.0031,0.614,,3
V292401001,L'Albarine à Saint-Rambert-en-Bugey,L'Albarine,SAINT-RAMBERT-EN-BUGEY,01,45.94802,5.43934,6.182,1.331,0.335,55
V293401001,L'Albarine à Saint-Denis-en-Bugey [Pont Saint Denis],L'Albarine,SAINT-DENIS-EN-BUGEY,01,45.954757,5.33171,6.5256,0.0,0.0,66
V294201001,L'Ain à Chazey-sur-Ain,L'Ain,CHAZEY-SUR-AIN,01,45.906423,5.233492,119.3021,39.985,17.466,66
V294521001,La Toison à Rignieux-le-Franc,La Toison,RIGNIEUX-LE-FRANC,01,45.939355,5.196009,0.3574,0.116,0.055,19
V300561001,La Sereine à Montluel,La Sereine,MONTLUEL,01,45.853262,5.057738,0.5138,0.278,0.213,43
F619000101,Le Surmelin à Saint-Eugène,Le Surmelin,SAINT-EUGENE,02,49.025074,3.531462,2.5741,1.07,0.673,57
F620000201,La Marne à Château-Thierry,La Marne,CHATEAU-THIERRY,02,49.044438,3.403097,,,,
F620000301,La Marne à Azy-sur-Marne - Barrage (amont) [VNF],La Marne,AZY-SUR-MARNE,02,49.001675,3.376504,,,,
F620000302,La Marne à Azy-sur-Marne - Barrage (aval) [VNF],La Marne,AZY-SUR-MARNE,02,49.001161,3.375785,,,,
H001000301,Le Petit Gland à Any-Martin-Rieux - Hauteur du petit Gland,Le Petit Gland,ANY-MARTIN-RIEUX,02,4.193566,49.876328,,,,
H002001101,L'Oise à Étréaupont - Hauteur de l'Oise a Etréaupont,L'Oise,ETREAUPONT,02,3.913736,49.904859,,,,
H003000201,Le Ton à Étréaupont - hauteur du Ton à Etréaupont,Le Ton,ETREAUPONT,02,3.913992,49.901773,,,,
H004000101,L'Oise à Guise - hauteur de l'Oise a Guise,L'Oise,GUISE,02,3.630458,49.897672,,,,
H004000201,L'Oise à Proisy - barrage de Proisy,L'Oise,PROISY,02,3.742611,49.902063,,,,
H005000101,Le Noirrieu à la Neuville-lès-Dorengt,Le Noirrieu,NEUVILLE-LES-DORENGT,02,49.977976,3.673103,0.3269,0.055,0.029,11
H010002201,La Serre à Chaourse - hauteur de la Serre,La Serre,CHAOURSE,02,3.996231,49.703997,,,,
H010002301,La Serre à Montigny-sous-Marle - Barrage de Montigny sous Marle,La Serre,MONTIGNY-SOUS-MARLE,02,3.790256,49.742381,,,,
H011001201,Le Vilpion à Thiernu,Le Vilpion,THIERNU,02,49.760555,3.791216,1.6048,0.875,,3
H012000201,La Brune à Hary - Hauteur de la Brune,Rivière Brune,HARY,02,3.934664,49.786831,,,,
H013000101,Le Vilpion à Marle - Hauteur du Vilpion,Le Vilpion,MARLE,02,3.76479,49.742318,,,,
H143000201,Le ruisseau de Fayau à Aizelles - Hauteur du Fayau dans le camping du moulin,Ruisseau de Fayau,AIZELLES,02,3.808871,49.490133,,,,
